model_key,valid_fold,model_kwargs.lm_freeze_layer_count,model_kwargs.node_h_dim,model_kwargs.num_layers,model_kwargs.residual,cycle_size,hp_combination,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,finished_at,max_lr
esm-t33-gvp,4,30,"(256, 16)",4,False,10,7,0.6555,0.6859,0.6231,0.7204,0.937,0.6393,-3.0,2024-09-11 20:41:03,0.002
esm-t33-gvp,4,30,"(512, 16)",3,True,20,8,0.6712,0.6761,0.6039,0.7752,0.9295,0.6457,-3.0,2024-09-11 20:56:58,0.002
esm-t33-gvp,4,30,"(512, 16)",3,True,10,9,0.6648,0.6823,0.6202,0.7425,0.9356,0.6349,-2.4,2024-09-11 21:05:11,0.002
esm-t33-gvp,4,30,"(512, 16)",3,False,20,10,0.2205,0.1529,0.6009,0.1378,0.79,0.1732,-2.9,2024-09-11 21:21:00,0.002
esm-t33-gvp,4,30,"(512, 16)",3,False,10,11,0.6558,0.6787,0.632,0.7112,0.9433,0.637,-2.3,2024-09-11 21:29:12,0.002
esm-t33-gvp,4,30,"(512, 16)",4,True,20,12,0.6751,0.69,0.6083,0.778,0.905,0.6435,-2.9,2024-09-11 21:46:10,0.002
esm-t33-gvp,4,30,"(512, 16)",4,True,10,13,0.66,0.687,0.592,0.7658,0.9374,0.641,-0.9,2024-09-11 21:54:56,0.002
esm-t33-gvp,4,30,"(512, 16)",4,False,20,14,0.2519,0.1861,0.5519,0.1727,0.8102,0.2007,-2.6,2024-09-11 22:11:45,0.002
esm-t33-gvp,4,30,"(512, 16)",4,False,10,15,0.0,0.0375,0.0,,0.416,0.0,-3.0,2024-09-11 22:20:25,0.002
esm-t33-gvp,4,31,"(256, 16)",3,True,20,16,0.636,0.6647,0.6009,0.7056,0.9255,0.6325,-2.6,2024-09-11 22:34:38,0.002
esm-t33-gvp,4,31,"(256, 16)",3,True,10,17,0.6363,0.6755,0.5519,0.7654,0.9426,0.6257,-1.0,2024-09-11 22:43:12,0.002
