model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,empty
esm-t33-pretrained,0,0.5103,0.5799,0.5286,0.5522,0.851,0.7054,-3.0,92,2024-09-27 01:59:47,0.0003,0.005,4.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5898,0.6156,0.5,0.7447,0.8602,0.7149,-1.0,93,2024-09-27 01:59:54,0.0003,0.005,4.0,31.0,empty,
esm-t33-pretrained,0,0.4283,0.4507,0.3571,0.5814,0.8177,0.5971,-1.6,94,2024-09-27 02:00:01,0.0003,0.005,4.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5938,0.6135,0.5714,0.6667,0.8455,0.7246,-3.4,95,2024-09-27 02:00:08,0.0003,0.005,4.0,32.0,empty,
esm-t33-pretrained,0,0.5038,0.5992,0.5429,0.5278,0.8569,0.7427,-3.8,96,2024-09-27 02:00:17,0.0003,0.005,6.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.648,0.6205,0.5143,0.8571,0.9013,0.7107,-0.2,97,2024-09-27 02:00:26,0.0003,0.005,6.0,30.0,empty,
esm-t33-pretrained,0,0.5038,0.5649,0.6,0.4828,0.8632,0.7016,-2.8,98,2024-09-27 02:00:35,0.0003,0.005,6.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5222,0.578,0.5,0.6034,0.8506,0.7396,-4.4,99,2024-09-27 02:00:43,0.0003,0.005,6.0,31.0,empty,
esm-t33-pretrained,0,0.5088,0.5189,0.3,0.913,0.8622,0.7111,0.0,100,2024-09-27 02:00:53,0.0003,0.005,6.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5714,0.5767,0.4857,0.7234,0.8628,0.7011,-1.6,101,2024-09-27 02:01:01,0.0003,0.005,6.0,32.0,empty,
esm-t33-pretrained,0,0.5017,0.515,0.3857,0.7105,0.8349,0.7611,-3.2,102,2024-09-27 02:01:14,0.0003,0.005,10.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5863,0.6023,0.4571,0.8,0.8788,0.7548,-0.6,103,2024-09-27 02:01:27,0.0003,0.005,10.0,30.0,empty,
esm-t33-pretrained,0,0.4457,0.5534,0.6,0.3962,0.8198,0.7427,-5.0,104,2024-09-27 02:01:40,0.0003,0.005,10.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4679,0.5485,0.4857,0.5152,0.8433,0.7333,-3.8,105,2024-09-27 02:01:52,0.0003,0.005,10.0,31.0,empty,
esm-t33-pretrained,0,0.4264,0.495,0.3857,0.54,0.8115,0.7328,-2.8,106,2024-09-27 02:02:04,0.0003,0.005,10.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4516,0.5829,0.2429,0.8947,0.8647,0.7216,1.0,107,2024-09-27 02:02:16,0.0003,0.005,10.0,32.0,empty,
esm-t33-pretrained,0,0.6126,0.5798,0.4571,0.8649,0.8545,0.7205,0.8,108,2024-09-27 02:02:24,0.0003,0.007,4.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
