model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.lm_freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-gearnet-pretrained,3,0.5356,0.5879,0.5,0.6383,0.8696,0.7571,1.4,0.0003,0.003,6,30,empty,23,2024-10-01 04:57:01
esm-t33-gearnet-pretrained,3,0.7523,0.8829,0.6333,0.9268,0.9714,0.9024,2.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,24,2024-10-01 04:57:13
esm-t33-gearnet-pretrained,3,0.7789,0.8646,0.7167,0.8776,0.9523,0.904,-0.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,25,2024-10-01 04:57:25
esm-t33-gearnet-pretrained,3,0.7345,0.846,0.65,0.8667,0.9704,0.9091,2.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,26,2024-10-01 04:57:37
esm-t33-gearnet-pretrained,3,0.7995,0.8435,0.8,0.8276,0.975,0.9374,-2.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,27,2024-10-01 04:57:49
esm-t33-gearnet-pretrained,3,0.6854,0.7903,0.6833,0.7321,0.9644,0.8396,-0.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,28,2024-10-01 04:58:01
esm-t33-gearnet-pretrained,3,0.7411,0.8514,0.7333,0.7857,0.9657,0.9374,-1.4,0.0003,0.003,10,30,empty,29,2024-10-01 04:58:13
esm-t33-gearnet-pretrained,4,0.1778,0.2472,0.0667,0.5714,0.6833,0.162,0.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 04:58:18
esm-t33-gearnet-pretrained,4,-0.0194,0.0563,0.0,0.0,0.3825,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 04:58:22
esm-t33-gearnet-pretrained,4,-0.0097,0.0567,0.0,0.0,0.4141,0.0,-1.2,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 04:58:27
